             , Test-6             , Test-7             , Test-8             , Test-9             , Test-11            , Test-12            , Test-13            , Test-15            , Test-16            , Test-17 
 best_violet ,0.623984091,0.623984091,0.625176263,0.623984058,                    ,                    ,                    ,                    ,                    ,         
 v4_epoch13  ,0.787057783,0.791963242,0.797312779,0.787057821,                    ,                    ,                    ,                    ,                    ,         
 v6_epoch10  ,0.801892267,0.808256383,0.810810811,0.801892274,                    ,                    ,                    ,                    ,                    ,         
 v6_epoch20  ,0.829124153,0.839584418,0.840249279,0.829124153,0.829124153,0.824102721,0.802276891,                    ,                    ,         
 v6_epoch40  ,0.832131307,0.836172874,0.840098026,0.832131351,0.832131351,0.82394675,0.808510638,0.75862069,0.785371352,         
 v7_epoch10  ,0.802973978,0.805970149,0.805970149,0.802973978,                    ,                    ,                    ,                    ,                    ,         
 v8n_epoch10 ,0.771414366,0.777358491,0.777358491,0.771414344,0.77141425,                    ,                    ,                    ,                    ,         
 v8s_epoch10 ,0.782754394,0.785840132,0.781239475,0.782754416,0.782754402,                    ,                    ,                    ,                    ,         
 v9_epoch13  ,0.76938645,0.775234099,0.775040447,0.769386403,0.769386526,                    ,                    ,                    ,                    ,         
 v11_epoch16 ,0.817518248,0.820512821,0.820512821,0.814545455,0.817518248,                    ,                    ,                    ,                    ,         
 v11_epoch40 ,0.827586207,0.836236934,0.833333333,0.827586207,0.827586207,0.808777429,                    ,                    ,                    ,         
 v12_epoch40 ,0.830005042,0.83581793,0.83581793,0.830005042,0.830005042,0.825861311,0.807135374,0.731398731,                    ,         
 v13_epoch40 ,0.832895919,0.838902657,0.838902657,0.832895919,                    ,0.833134326,0.819852252,0.756923077,0.807017544,         
 v15_epoch11 ,                    ,                    ,                    ,                    ,                    ,                    ,0.794046133,0.844278628,0.853003211,         
 v16_epoch14 ,                    ,                    ,                    ,                    ,                    ,                    ,0.823685794,0.83174047,0.872007802,         
v17_epoch64,,,,,,,,,,0.91703097
